Student#,Location,Day,AQI,Time Begin,Weather,Temp (C) ,species count,bird count,Most common species,behavior,Notes
14,"Harrisville, NH",2/19/2021,29,16:00,Partly cloudy,-2,1,2,Dark-eyed Junco,Hopping on ground,
14,"Harrisville, NH",2/20/2021,40,16:00,snowy,-2,0,0,N/A,N/A,
14,"Harrisville, NH",2/21/2021,39,16:00,sunny,1,4,4,"Red-breasted nuthatch, black-capped chickadee, house sparrow, house finch",Perching,
14,"Harrisville, NH",2/22/2021,45,16:00,snowy,1,0,0,N/A,N/A,
14,"Harrisville, NH",2/23/2021,47,16:30,rainy,2,0,0,N/A,N/A,
14,"Harrisville, NH",2/24/2021,24,16:00,Partly cloudy,7,4,7,Black-capped Chickadee,Feeding,
9,"Akron, OH",2/18/2021,58,12:30,Overcast,-2,7,55,Cardinal,Feeding,
9,"Akron, OH",2/19/2021,68,12:30,Partly cloudy,-4,7,38,Cardinal,Feeding,
9,"Akron, OH",2/20/2021,92,12:30,Overcast,-6,8,48,"Cardinal, black capped chickadee",Feeding,
9,"Akron, OH",2/21/2021,85,12:30,Sunny,-2,8,39,Black capped chickadee,Flying,
9,"Akron, OH",2/22/2021,52,12:30,Overcast,3,7,38,Cardinal,Feeding,
9,"Akron, OH",2/23/2021,52,12:30,Partly cloudy,6,8,35,Cardinal,Flying,
9,"Akron, OH",2/24/2021,43,12:30,Partly cloudy,12,3,10,Black capped chickadee,Flying,
4,"Sapsucker Woods, Ithaca, New York",2/18/2020,12,11:43,partly cloudy,-4,10,56,black capped chickadee,feeding ,
4,"Sapsucker Woods, Ithaca, New York",2/19/2020,15,11:10,sunny ,-2,9,34,mourning dove ,feeding ,
4,"Sapsucker Woods, Ithaca, New York",2/20/2020,17,12:10,snowy ,-4,8,33,black capped chickadee,feeding ,
4,"Sapsucker Woods, Ithaca, New York",2/21/2020,13,1:30,sunny ,-2,5,67,black capped chickadee,feeding ,
